"TRIP_NUMBER","TE_FILTER"

500338,"PR375303"
520692,"MC008597"
521012,"MC008601"
521076,"MC008616"
521077,"MC008617"
521080,"MC008619"
521081,"MC008611"
521394,"MC008630"
523621,"PR387728"
523655,"MC008674"
525020,"MC008709"
527480,"MC008767"
528166,"PR391308"
529417,"PR391880"
529486,"PR392277"
530088,"PR392815"
530375,"PR392374"
531073,"PR393427"
531166,"PR392814"
531534,"PR393613"
532150,"PR394028"
532362,"MC008831"
532642,"PR392406"
532783,"PR394410"
533245,"PR394719"
533380,"PR394791"
535241,"PR394752"
535761,"MC008908"
535850,"PR395171"
535903,"PR396423"
536398,"MC008915"
537729,"PR396334"
538275,"MC008945"
538609,"PR398142"
538668,"PR397108"
538984,"PR398347"
539277,"MC008964"
539800,"PR398746"
540613,"PR398760AA"
540893,"PR399283"
540913,"PR399289"
540992,"PR398761"
541341,"MW000614"
542816,"PR400256"
544096,"PR398681"
544290,"PR401233"
544449,"PR401277"
544493,"PR401298AA"
544547,"PR401330"
544550,"MC009013"
544858,"PR399041"
544940,"MW000639"
545311,"PR401789"
545537,"PR401876"
545656,"PR401940"
546313,"MC009060"
547393,"PR402910"
547394,"PR402913"
547583,"MW000718"
548138,"PR402912"
548183,"MC009105"
548511,"PR403353"
549285,"PR404089"
549348,"MC009164"
550412,"PR404820"
550425,"PR404833"
551029,"MC009163"
551163,"PR405238"
551165,"PR405239"
551166,"PR405240"
551176,"PR404571"
551185,"PR405224"
551394,"PR405263"
551808,"MW000778"
551823,"MC009213"
551888,"MC009124"
552493,"OR044364"
552922,"MC009231"
553284,"MC009216"
553473,"PR404525"
553533,"MW000777"
553604,"PR406549"
553652,"PR406855"
554227,"PR407182"
554365,"MC009217"
555166,"PR407410"
555464,"MW000806"
555824,"MC009261"
556242,"PR408540"
556243,"PR408542"
556680,"PR407271"
556843,"PR408687"
556844,"PR408852"
556997,"PR408942"
557178,"PR408908"
557222,"PR409009"
557300,"PR409058"
557737,"PR409293"
565648,"BH414144"
